,时间,合约名,信号,单价,手数,总价,手续费,可用资金,开仓均价,品种浮盈,权益,当日收盘,已缴纳保证金,平仓盈亏
0,2024-01-02,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
1,2024-01-03,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
2,2024-01-04,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
3,2024-01-05,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
4,2024-01-08,1460,开空仓,3560.0,-1,2492,0,99997508,3560,640,100000640,3496.0,2492,
5,2024-01-08,ALL,,0.0,0,0,0,99997508,,,100000640,,2492,
6,2024-01-09,1460,不交易,0.0,0,0,0,99997508,3560,570,100000570,3503.0,2492,
7,2024-01-09,ALL,,0.0,0,0,0,99997508,,,100000570,,2492,
8,2024-01-10,1460,不交易,0.0,0,0,0,99997508,3560,1060,100001060,3454.0,2492,
9,2024-01-10,ALL,,0.0,0,0,0,99997508,,,100001060,,2492,
10,2024-01-11,1460,不交易,0.0,0,0,0,99997508,3560,750,100000750,3485.0,2492,
11,2024-01-11,ALL,,0.0,0,0,0,99997508,,,100000750,,2492,
12,2024-01-12,5170,开空仓,1698.3,-1,15285,0,99982223,1698,-14635,99985365,1991.0,17777,
13,2024-01-12,1460,不交易,0.0,0,0,0,99982223,3560,920,99986285,3468.0,17777,
14,2024-01-12,ALL,,0.0,0,0,0,99982223,,,99986285,,17777,
15,2024-01-15,1460,不交易,0.0,0,0,0,99982223,3560,940,100000940,3466.0,17777,
16,2024-01-15,5170,不交易,0.0,0,0,0,99982223,1698,-10270,99990670,1903.7,17777,
17,2024-01-15,ALL,,0.0,0,0,0,99982223,,,99990670,,17777,
18,2024-01-16,1460,不交易,0.0,0,0,0,99982223,3560,760,100000760,3484.0,17777,
19,2024-01-16,5170,不交易,0.0,0,0,0,99982223,1698,-9020,99991740,1878.7,17777,
20,2024-01-16,ALL,,0.0,0,0,0,99982223,,,99991740,,17777,
21,2024-01-17,1460,不交易,0.0,0,0,0,99982223,3560,1160,100001160,3444.0,17777,
22,2024-01-17,5170,不交易,0.0,0,0,0,99982223,1698,-2350,99998810,1745.3,17777,
23,2024-01-17,ALL,,0.0,0,0,0,99982223,,,99998810,,17777,
24,2024-01-18,1460,不交易,0.0,0,0,0,99982223,3560,1660,100001660,3394.0,17777,
25,2024-01-18,5170,不交易,0.0,0,0,0,99982223,1698,-2815,99998845,1754.6,17777,
26,2024-01-18,ALL,,0.0,0,0,0,99982223,,,99998845,,17777,
27,2024-01-19,1460,不交易,0.0,0,0,0,99982223,3560,2060,100002060,3354.0,17777,
28,2024-01-19,5170,不交易,0.0,0,0,0,99982223,1698,770,100002830,1682.9,17777,
29,2024-01-19,ALL,,0.0,0,0,0,99982223,,,100002830,,17777,
30,2024-01-22,1460,不交易,0.0,0,0,0,99982223,3560,2310,100002310,3329.0,17777,
31,2024-01-22,5170,不交易,0.0,0,0,0,99982223,1698,-5810,99996500,1814.5,17777,
32,2024-01-22,ALL,,0.0,0,0,0,99982223,,,99996500,,17777,
33,2024-01-23,1460,不交易,0.0,0,0,0,99982223,3560,1960,100001960,3364.0,17777,
34,2024-01-23,5170,不交易,0.0,0,0,0,99982223,1698,-6520,99995440,1828.7,17777,
35,2024-01-23,ALL,,0.0,0,0,0,99982223,,,99995440,,17777,
36,2024-01-24,1460,不交易,0.0,0,0,0,99982223,3560,1960,100001960,3364.0,17777,
