,时间,合约名,信号,单价,手数,总价,手续费,可用资金,开仓均价,品种浮盈,权益,当日收盘,已缴纳保证金,平仓盈亏
0,2024-01-02,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
1,2024-01-02,豆一加权,开空仓,4925.0,-10,34475,0,99965525,4925,0,100000000,4925.0,34475,
2,2024-01-02,鸡蛋加权,开空仓,3639.0,-10,25473,0,99940052,3639,0,100000000,3639.0,59948,
3,2024-01-02,棉花加权,开多仓,15595.0,10,54583,0,99885470,15595,0,100000000,15595.0,114530,
4,2024-01-02,铁矿石加权,开多仓,1001.5,10,150225,0,99735244,1002,0,100000000,1001.5,264756,
5,2024-01-02,集运欧线加权,开多仓,1751.6,10,157644,0,99577600,1752,0,100000000,1751.6,422400,
6,2024-01-02,纸浆加权,开多仓,5830.0,10,46640,0,99530960,5830,0,100000000,5830.0,469040,
7,2024-01-02,焦炭加权,开多仓,2536.0,10,507200,0,99023760,2536,0,100000000,2536.0,976240,
8,2024-01-02,螺纹钢加权,开多仓,4036.0,10,28252,0,98995508,4036,0,100000000,4036.0,1004492,
9,2024-01-02,焦煤加权,开多仓,1928.5,10,138852,0,98856656,1928,0,100000000,1928.5,1143344,
10,2024-01-02,玻璃加权,开空仓,1866.0,-10,44784,0,98811872,1866,0,100000000,1866.0,1188128,
11,2024-01-02,苹果加权,开多仓,8235.0,10,82350,0,98729522,8235,0,100000000,8235.0,1270478,
12,2024-01-02,ALL,,0.0,0,0,0,98729522,,,100000000,,1270478,
13,2024-01-03,花生加权,开多仓,8734.0,10,34936,0,98694586,8734,1300,100001300,8760.0,1305414,
14,2024-01-03,沥青加权,开多仓,3744.0,10,33696,0,98660890,3744,-4800,99996500,3696.0,1339110,
15,2024-01-03,乙二醇加权,开多仓,4562.0,10,36496,0,98624394,4562,500,99997000,4567.0,1375606,
16,2024-01-03,生猪加权,开多仓,14580.0,10,186624,0,98437770,14580,-8800,99988200,14525.0,1562230,
17,2024-01-03,热轧卷板加权,开多仓,4144.0,10,29008,0,98408762,4144,1500,99989700,4159.0,1591238,
