,时间,合约名,信号,单价,手数,总价,手续费,可用资金,开仓均价,品种浮盈,权益,当日收盘,已缴纳保证金,平仓盈亏
0,2024-10-08,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
1,2024-10-08,棉花加权,开空仓,14305.0,-10,50068,0,99949932,14305,0,100000000,14305.0,50068,
2,2024-10-08,纯碱加权,开空仓,1510.0,-10,36240,0,99913692,1510,0,100000000,1510.0,86308,
3,2024-10-08,纸浆加权,开空仓,5776.0,-10,46208,0,99867484,5776,0,100000000,5776.0,132516,
4,2024-10-08,豆一加权,开空仓,4015.0,-10,28105,0,99839380,4015,0,100000000,4015.0,160620,
5,2024-10-08,豆粕加权,开空仓,2942.0,-10,20594,0,99818786,2942,0,100000000,2942.0,181214,
6,2024-10-08,集运欧线加权,开空仓,1699.9,-10,152991,0,99665794,1700,0,100000000,1699.9,334206,
7,2024-10-08,鸡蛋加权,开空仓,3527.0,-10,24689,0,99641106,3527,0,100000000,3527.0,358894,
8,2024-10-08,ALL,,0.0,0,0,0,99641106,,,100000000,,358894,
9,2024-10-08,棕榈油加权,开多仓,8664.0,10,69312,0,99571794,8664,0,100000000,8664.0,428206,
10,2024-10-08,橡胶加权,开空仓,18885.0,-10,151080,0,99420714,18885,0,100000000,18885.0,579286,
11,2024-10-08,玻璃加权,开空仓,1228.0,-10,29472,0,99391242,1228,0,100000000,1228.0,608758,
12,2024-10-08,碳酸锂加权,开空仓,78400.0,-10,94080,0,99297162,78400,0,100000000,78400.0,702838,
13,2024-10-08,红枣加权,开空仓,9940.0,-10,74550,0,99222612,9940,0,100000000,9940.0,777388,
14,2024-10-08,锰硅加权,开空仓,6342.0,-10,28539,0,99194072,6342,0,100000000,6342.0,805928,
15,2024-10-08,棉花加权,不交易,0.0,0,0,0,99194072,14305,0,100000000,14305.0,805928,
16,2024-10-08,纯碱加权,不交易,0.0,0,0,0,99194072,1510,0,100000000,1510.0,805928,
17,2024-10-08,纸浆加权,不交易,0.0,0,0,0,99194072,5776,0,100000000,5776.0,805928,
18,2024-10-08,豆一加权,不交易,0.0,0,0,0,99194072,4015,0,100000000,4015.0,805928,
19,2024-10-08,豆粕加权,不交易,0.0,0,0,0,99194072,2942,0,100000000,2942.0,805928,
20,2024-10-08,集运欧线加权,不交易,0.0,0,0,0,99194072,1700,0,100000000,1699.9,805928,
21,2024-10-08,鸡蛋加权,不交易,0.0,0,0,0,99194072,3527,0,100000000,3527.0,805928,
22,2024-10-08,ALL,,0.0,0,0,0,99194072,,,100000000,,805928,
23,2024-10-09,PVC加权,开空仓,5700.0,-10,19950,0,99174122,5700,4800,100004800,5604.0,825878,
24,2024-10-09,工业硅加权,开空仓,11035.0,-10,49658,0,99124465,11035,-6500,99998300,11165.0,875535,
25,2024-10-09,尿素加权,开空仓,1871.0,-10,29936,0,99094529,1871,4600,100002900,1848.0,905471,
26,2024-10-09,焦炭加权,开空仓,2144.5,-10,428900,0,98665629,2144,14000,100016900,2130.5,1334371,
27,2024-10-09,焦煤加权,开空仓,1485.5,-10,106956,0,98558673,1486,9600,100026500,1469.5,1441327,
28,2024-10-09,铁矿石加权,开空仓,782.0,-10,117300,0,98441373,782,6000,100032500,776.0,1558627,
