,时间,合约名,信号,单价,手数,总价,手续费,可用资金,开仓均价,品种浮盈,权益,当日收盘,已缴纳保证金,平仓盈亏
0,2024-10-08,ALL,,0.0,0,0,0,100000000,,,100000000,,0,
1,2024-10-08,碳酸锂加权,开多仓,78400.0,10,94080,0,99905920,78400,0,100000000,78400.0,94080,
2,2024-10-08,纯碱加权,开多仓,1510.0,10,36240,0,99869680,1510,0,100000000,1510.0,130320,
3,2024-10-08,纸浆加权,开多仓,5776.0,10,46208,0,99823472,5776,0,100000000,5776.0,176528,
4,2024-10-08,红枣加权,开多仓,9940.0,10,74550,0,99748922,9940,0,100000000,9940.0,251078,
5,2024-10-08,豆一加权,开多仓,4015.0,10,28105,0,99720817,4015,0,100000000,4015.0,279183,
6,2024-10-08,豆粕加权,开多仓,2942.0,10,20594,0,99700223,2942,0,100000000,2942.0,299777,
7,2024-10-08,集运欧线加权,开多仓,1699.9,10,152991,0,99547232,1700,0,100000000,1699.9,452768,
8,2024-10-08,鸡蛋加权,开多仓,3527.0,10,24689,0,99522543,3527,0,100000000,3527.0,477457,
9,2024-10-08,ALL,,0.0,0,0,0,99522543,,,100000000,,477457,
10,2024-10-08,PVC加权,开多仓,5700.0,10,19950,0,99502593,5700,0,100000000,5700.0,497407,
11,2024-10-08,工业硅加权,开多仓,11035.0,10,49658,0,99452936,11035,0,100000000,11035.0,547064,
12,2024-10-08,尿素加权,开多仓,1871.0,10,29936,0,99423000,1871,0,100000000,1871.0,577000,
13,2024-10-08,棕榈油加权,开空仓,8664.0,-10,69312,0,99353688,8664,0,100000000,8664.0,646312,
14,2024-10-08,橡胶加权,开多仓,18885.0,10,151080,0,99202608,18885,0,100000000,18885.0,797392,
15,2024-10-08,焦炭加权,开多仓,2144.5,10,428900,0,98773708,2144,0,100000000,2144.5,1226292,
16,2024-10-08,玻璃加权,开多仓,1228.0,10,29472,0,98744236,1228,0,100000000,1228.0,1255764,
17,2024-10-08,铁矿石加权,开多仓,782.0,10,117300,0,98626936,782,0,100000000,782.0,1373064,
18,2024-10-08,锰硅加权,开多仓,6342.0,10,28539,0,98598396,6342,0,100000000,6342.0,1401604,
19,2024-10-08,碳酸锂加权,不交易,0.0,0,0,0,98598396,78400,0,100000000,78400.0,1401604,
20,2024-10-08,纯碱加权,不交易,0.0,0,0,0,98598396,1510,0,100000000,1510.0,1401604,
21,2024-10-08,纸浆加权,不交易,0.0,0,0,0,98598396,5776,0,100000000,5776.0,1401604,
22,2024-10-08,红枣加权,不交易,0.0,0,0,0,98598396,9940,0,100000000,9940.0,1401604,
23,2024-10-08,豆一加权,不交易,0.0,0,0,0,98598396,4015,0,100000000,4015.0,1401604,
24,2024-10-08,豆粕加权,不交易,0.0,0,0,0,98598396,2942,0,100000000,2942.0,1401604,
25,2024-10-08,集运欧线加权,不交易,0.0,0,0,0,98598396,1700,0,100000000,1699.9,1401604,
26,2024-10-08,鸡蛋加权,不交易,0.0,0,0,0,98598396,3527,0,100000000,3527.0,1401604,
27,2024-10-08,ALL,,0.0,0,0,0,98598396,,,100000000,,1401604,
28,2024-10-09,50股指加权,开多仓,2849.6,10,1025856,0,97572540,2850,-586800,99413200,2654.0,2427460,
29,2024-10-09,焦煤加权,开多仓,1485.5,10,106956,0,97465584,1486,-9600,99403600,1469.5,2534416,
30,2024-10-09,玉米加权,开多仓,2210.0,10,15470,0,97450114,2210,100,99403700,2211.0,2549886,
